CUI,CUI_STR,LOINC_PART,LOINC_PART_NAME
C1300737,Tumor pigmentation,LP73569-3,Tumor pigmentation
C1507349,DMPK phenotype,LP33664-1,DMPK phenotype
C1508349,View Sunrise,LP220602-9,Sunrise
C1508349,View Sunrise,LP33758-1,View Sunrise
C0005767,Blood,LP71680-0,Blood
C0005767,Blood,LP7057-5,Bld
C0946195,Leptospira interrogans serovar Zanoni Ab,LP38914-5,Leptospira interrogans serovar Zanoni Ab
C1718743,Endive (Cichorium endivia) Ab,LP37677-9,Cichorium endivia Ab
C3165662,PhenX - environmental exposures - exposures from hobbies protocol,LP111702-9,PhenX - environmental exposures - exposures from hobbies protocol 060601
C1527117,Personnel,LP268485-2,Personnel
C1979410,Cells.CD79b/100 cells,LP285599-9,Cells.CD79b/100 cells
C2706911,Assessment &or tracking type,LP89702-2,Assessment &or tracking type
C1317131,Bilirubin.glucuronidated/Bilirubin.total,LP285098-2,Bilirubin.glucuronidated/Bilirubin.total
C1440872,Latex glove extract buffered,LP17213-7,Latex glove extract buffered
C2963268,Aquaporin 4 water channel,LP102619-6,Aquaporin 4 water channel
C3176869,"Are you pregnant, or is there a chance you could become pregnant during the next Mo",LP128202-1,"Are you pregnant, or is there a chance you could become pregnant during the next Mo"
C0882831,Cells.CD3+CD26+,LP18355-5,Cells.CD3+CD26+
C0807427,Place of 1st Dx,LP73111-4,Place of 1st Dx
C1446652,Morus rubra antigen,LP14432-6,Morus rubra
C0038785,Sulfuric Acid Esters,LP19230-9,Sulfate.organic
C1317348,Evaluation and management note,LP64606-4,Evaluation and management note
C0062853,HLA-C*02 antigen,LP16576-8,HLA-Cw2
C3176799,Influenza A virus polymerase A RNA,LP113773-8,Influenza virus A polymerase A RNA
C3475552,"I am able to keep track of what I am doing, even if I am interrupted in the past 7D",LP146987-5,"I am able to keep track of what I am doing, even if I am interrupted in the past 7D"
C1270463,Deer epithelium specific immunoglobulin E,LP147378-6,Deer epithelium Ab.IgE
C1440294,CD32 cells,LP19043-6,Cells.CD32
C1442027,US+Measured,LP192108-1,US+Measured
C1442027,US+Measured,LP6731-6,US.measured
C1955366,Rickettsia africae Antibody,LP63453-2,Rickettsia africae Ab
C0085490,Mannheimia haemolytica,LP417887-9,Mannheimia haemolytica
C2964300,PhenX - vitamin D protocol,LP111161-8,PhenX - vitamin D protocol 051101
C3165613,PhenX - causes and treatments of known infertility - male protocol,LP111931-4,PhenX - causes and treatments of known infertility - male protocol 100201
C0059513,ergocryptine,LP263244-8,Ergocryptine
C0121907,"gp105 envelope protein, Human immunodeficiency virus 2",LP19514-6,HIV 2 gp105
C1439417,1.6 hours post XXX challenge,LP29362-8,1.6H post XXX challenge
C3173410,How many natural teeth does your child have,LP115235-6,How many natural teeth does your child have
C3533278,Functional assessment of cancer therapy for patients with neurotoxicity questionnaire - 4 items - version 4,LP146734-1,Functional assessment of cancer therapy for patients with neurotoxicity questionnaire - 4 items - version 4
C0807851,Salmonella Pullorum Ab,LP39680-1,Salmonella pullorum Ab
C3534348,"t(4;14)(p16;q32)(FGFR3,IGH)",LP157496-3,"t(4;14)(p16;q32)(FGFR3,IGH)"
C0106127,beta sitosterol,LP173720-6,Beta sitosterol
C0319941,Histoplasma capsulatum,LP16650-1,Histoplasma capsulatum
C1989521,Cells.CD42d/100 cells,LP285522-1,Cells.CD42d/100 cells
C3166823,Your child finds it easy to do more than one thing at once,LP118460-7,Your child finds it easy to do more than one thing at once
C0011710,desoxycorticosterone,LP15283-2,11-Deoxycorticosterone
C0011710,desoxycorticosterone,LP69845-3,11-Deoxycorticosterone
C1440511,Coxsackievirus B1,LP14062-1,Coxsackievirus B1
C1508387,Views AP + lateral + oblique + odontoid,LP33826-6,Views AP + lateral + oblique + odontoid
C3173418,"Did you have painful sores or irritations around the lips or on the tongue, cheeks, or gums more than once in past 6Mo",LP115239-8,"Did you have painful sores or irritations around the lips or on the tongue, cheeks, or gums more than once in past 6Mo"
C0070166,clopidogrel,LP171391-8,Clopidogrel
C1443174,Brugia malayi antigen,LP17148-5,Brugia malayi
C1977733,Methylmalonylcarnitine+Succinylcarnitine (C4-DC),LP66335-8,Methylmalonylcarnitine+Succinylcarnitine (C4-DC)
C1977820,Adipolactone/Creatinine,LP284888-7,Adipolactone/Creatinine
C1953884,Platelets.large/Platelets,LP286845-5,Platelets.large/Platelets
C3166297,S little c 2 Ab,LP119508-2,S little c 2 Ab
C1545794,Urinalysis dipstick test status,LP74375-4,Urinalysis dipstick test status
C2599037,Granulocytes.CD55 deficient/100 cells,LP286126-0,Granulocytes.CD55 deficient/100 cells
C1315050,Neonatal measures (attributes),LP7829-7,Neonatalology
C0044496,1-naphthol,LP17970-2,1-Naphthol
C0073188,Rho(D) immune globulin,LP14598-4,Rh immune globulin
C0073188,Rho(D) immune globulin,LP66664-1,Rh immune globulin
C1115432,Dactylis glomerata Ab.IgE.RAST class,LP228252-5,Dactylis glomerata Ab.IgE.RAST class
C1441204,Solidago virgaurea,LP16985-1,Solidago virgaurea
C1963001,Cheese cottage (antigen),LP17352-3,Cheese cottage
C1412369,ALS4 gene,LP36765-3,ALS4 gene
C0806342,Oxyhemoglobin/Hemoglobin.total,LP307523-3,Oxyhemoglobin/Hemoglobin.total
C3177076,How much difficulty do you have pushing or pulling large objects like a living room chair,LP127933-2,How much difficulty do you have pushing or pulling large objects like a living room chair
C3484330,Epstein Barr virus nuclear 1 Ab.IgG & IgM,LP156222-4,Epstein Barr virus nuclear 1 Ab.IgG & IgM
C0025598,metformin,LP33332-5,metFORMIN
C2598719,Gamma globulin.abnormal band,LP70586-0,Gamma globulin.abnormal band
C2964049,I was able to count on my friends in past 7D,LP103354-9,I was able to count on my friends in past 7D
C1115186,Artemisia vulgaris basophil bound Ab,LP174319-6,Artemisia vulgaris basophil bound Ab
C0809869,TNM category,LP7648-1,TNM classification
C0878969,"Catheters, Vascular, Infusion, Central Venous, Tunneled",LP263838-7,Tunneled catheter
C1442001,Ultrasound+Estimated from OOD.Mayden 1982,LP32369-8,US+Estimated from OOD.Mayden 1982
C1508296,Peripheral neuropathy gene,LP34331-6,Peripheral neuropathy gene
C1522634,Question (inquiry),LP175698-2,Question
C0930966,Left third toe,LP34030-4,Lower extremity.left>Toe.third
C1717515,Activity preferences - gardening or plants,LP74417-4,Activity preferences - gardening or plants
C3258410,Would you say that in general your health is,LP128671-7,Would you say that in general your health is
C1317210,Cells.TCR alpha beta/100 cells,LP285712-8,Cells.TCR alpha beta/100 cells
C1953910,Proteinase 3 Ab.IgG,LP63064-7,Proteinase 3 Ab.IgG
C2709213,Estimated from,LP91422-3,Estimated from
C3176981,Do you have nail psoriasis,LP128645-1,Do you have nail psoriasis
C0946289,PO N,LP73121-3,PO N
C0009064,Clostridium tetani,LP16678-2,Clostridium tetani
C0013862,Polyacrylamide Gel Electrophoresis,LP6434-7,PAGE
C0487592,SPINNBARKEIT TEST,LP269122-0,Spinnbarkeit test
C0883092,Biopsy Guidance,LP33390-3,Guidance for biopsy
C0225927,Tricuspid valve ostium,LP7656-4,Tricuspid valve.orifice
C0806625,Legionella pneumophila 6 IgM,LP38848-5,Legionella pneumophila 6 Ab.IgM
C1979228,Blasts.CD34+CD117+/100 blasts,LP285137-8,Blasts.CD34+CD117+/100 blasts
C1978515,OTC Type A medicated article animal drug label,LP73028-0,OTC Type A medicated article animal drug label
C2923092,Fetal trisomy 13 risk,LP99499-3,Fetal trisomy 13 risk
C3173066,Age group for ultraviolet light exposure,LP114663-0,Age group for ultraviolet light exposure
