"PheCode","CUI","PheCode_desc","CUI_desc","cos_coderpp"
"PheCode:008","C0021342","Intestinal infection","Infectious enteritis",0.6037241637493775
"PheCode:008","C0178238","Intestinal infection","Intestinal infectious disease (disorder)",0.8678021918692773
"PheCode:008","C0277524","Intestinal infection","Infectious colitis",0.6380560804841074
"PheCode:008","C0851881","Intestinal infection","Enterococcal infection",0.5856831572808823
"PheCode:008","C1392841","Intestinal infection","infection of colon",0.5443689458692792
"PheCode:008","C1400687","Intestinal infection","alimentary canal; infection",0.5331389951572505
"PheCode:008","C1546341","Intestinal infection","(Intestinal infectious diseases) or (unspecified enteritis)",0.6396346800199266
"PheCode:008","C1655781","Intestinal infection","digestive infection",0.5027475470919325
"PheCode:008","C1698035","Intestinal infection","Ileal infection",0.5682518049130683
"PheCode:008","C1698036","Intestinal infection","Small Intestinal Infection",0.5521282438807893
"PheCode:008","C1698629","Intestinal infection","Duodenal Infection",0.5362207068391328
"PheCode:008","C1699694","Intestinal infection","Cecal Infection",0.6202654822697908
"PheCode:008","C4082764","Intestinal infection","Gastrointestinal infection",0.563408967048117
"PheCode:008","C4545065","Intestinal infection","Infection of large intestine",0.5329124483947649
"PheCode:008.5","C0152516","Bacterial enteritis","Bacterial enteritis",0.9999999999944864
"PheCode:008.5","C0348095","Bacterial enteritis","Bacterial intestinal infection, unspecified",0.5041650246210939
"PheCode:008.5","C4524144","Bacterial enteritis","Acute enteritis",0.5276916952019752
"PheCode:008.52","C0235952","Intestinal infection due to C. difficile","Clostridium difficile diarrhea",0.5312374422600634
"PheCode:008.52","C0238106","Intestinal infection due to C. difficile","Clostridium difficile colitis",0.5077903897186866
"PheCode:008.52","C0343386","Intestinal infection due to C. difficile","Clostridium difficile infection",0.5248833810307294
"PheCode:008.52","C0494025","Intestinal infection due to C. difficile","Intestinal infection due to clostridium difficile",0.832993620505883
"PheCode:008.52","C4480963","Intestinal infection due to C. difficile","infectious enterocolitis due to Clostridium difficile",0.5348845361551217
"PheCode:008.52","C5139166","Intestinal infection due to C. difficile","Clostridium difficile enteritis",0.5828438603964299
