PheCode.x	PheCode_desc.x	PheCode.y	PheCode_desc.y
PheCode:755.4	Congenital anomalies of upper limb, including shoulder girdle	PheCode:759	Other and unspecified congenital anomalies
PheCode:754	Congenital musculoskeletal deformities of spine	PheCode:759	Other and unspecified congenital anomalies
PheCode:158	Neoplasm of unspecified nature of digestive system	PheCode:251.8	Abnormality of secretion of glucagon or gastrin
PheCode:324	Other CNS infection and poliomyelitis	PheCode:681	Superficial cellulitis and abscess
PheCode:289.5	Diseases of spleen	PheCode:681	Superficial cellulitis and abscess
PheCode:939	Atopic/contact dermatitis due to other or unspecified	PheCode:701.6	Acquired acanthosis nigricans
PheCode:537	Other disorders of stomach and duodenum	PheCode:536	Disorders of function of stomach
PheCode:756.5	Congenital osteodystrophies	PheCode:756	Other congenital musculoskeletal anomalies
PheCode:732	Osteochondropathies	PheCode:756	Other congenital musculoskeletal anomalies
PheCode:276.4	Acid-base balance disorder	PheCode:276.41	Acidosis
PheCode:939	Atopic/contact dermatitis due to other or unspecified	PheCode:706.1	Acne
PheCode:706	Diseases of sebaceous glands	PheCode:706.1	Acne
PheCode:701.4	Keloid scar	PheCode:706.1	Acne
PheCode:704	Diseases of hair and hair follicles	PheCode:706.1	Acne
PheCode:352	Disorders of other cranial nerves	PheCode:389.5	Disorders of acoustic nerve
PheCode:071	Human immunodeficiency virus [HIV] disease	PheCode:071.1	HIV infection, symptomatic
PheCode:253.1	Pituitary hyperfunction	PheCode:253.11	Acromegaly and gigantism
PheCode:070.9	Hepatitis NOS	PheCode:573.4	Acute and subacute necrosis of liver
PheCode:317.11	Alcoholic liver damage	PheCode:573.4	Acute and subacute necrosis of liver
PheCode:573	Other disorders of liver	PheCode:573.4	Acute and subacute necrosis of liver
PheCode:571.5	Other chronic nonalcoholic liver disease	PheCode:573.4	Acute and subacute necrosis of liver
PheCode:070	Viral hepatitis	PheCode:573.4	Acute and subacute necrosis of liver
PheCode:010	Tuberculosis	PheCode:573.4	Acute and subacute necrosis of liver
PheCode:478	Throat pain	PheCode:465.2	Acute pharyngitis
PheCode:245	Thyroiditis	PheCode:245.1	Thyroiditis, acute and subacute
PheCode:474	Acute and chronic tonsillitis	PheCode:474.1	Acute tonsillitis
PheCode:474.2	Chronic tonsillitis and adenoiditis	PheCode:474.1	Acute tonsillitis
PheCode:441	Vascular insufficiency of intestine	PheCode:441.1	Acute vascular insufficiency of intestine
PheCode:426.8	Other cardiac conduction disorders	PheCode:426	Cardiac conduction disorders
PheCode:426.2	Atrioventricular [AV] block	PheCode:426	Cardiac conduction disorders
PheCode:527.2	Sialoadenitis	PheCode:289.4	Lymphadenitis
PheCode:446.2	Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)	PheCode:289.4	Lymphadenitis
PheCode:369.2	Eye infection, viral	PheCode:079	Viral infection
PheCode:300.9	Posttraumatic stress disorder	PheCode:304	Adjustment reaction
PheCode:255.11	Cushing's syndrome	PheCode:255	Disorders of adrenal glands
PheCode:255.13	Medulloadrenal hyperfunction	PheCode:255	Disorders of adrenal glands
PheCode:255.12	Hyperaldosteronism	PheCode:255	Disorders of adrenal glands
PheCode:255.22	Mineralocorticoid deficiency	PheCode:255	Disorders of adrenal glands
PheCode:259	Other endocrine disorders	PheCode:255	Disorders of adrenal glands
PheCode:255.1	Adrenal hyperfunction	PheCode:255	Disorders of adrenal glands
PheCode:253.5	Pituitary dwarfism	PheCode:255	Disorders of adrenal glands
PheCode:253.2	Pituitary hypofunction	PheCode:255	Disorders of adrenal glands
PheCode:255.3	Adrenogenital disorders	PheCode:255	Disorders of adrenal glands
PheCode:255	Disorders of adrenal glands	PheCode:255.13	Medulloadrenal hyperfunction
PheCode:255	Disorders of adrenal glands	PheCode:255.1	Adrenal hyperfunction
PheCode:255	Disorders of adrenal glands	PheCode:255.11	Cushing's syndrome
PheCode:255.12	Hyperaldosteronism	PheCode:255.13	Medulloadrenal hyperfunction
PheCode:255.12	Hyperaldosteronism	PheCode:255.1	Adrenal hyperfunction
PheCode:255.12	Hyperaldosteronism	PheCode:255.11	Cushing's syndrome
PheCode:255.11	Cushing's syndrome	PheCode:255.13	Medulloadrenal hyperfunction
PheCode:255.11	Cushing's syndrome	PheCode:255.1	Adrenal hyperfunction
PheCode:743.11	Osteoporosis NOS	PheCode:743.12	Senile osteoporosis
PheCode:200	Myeloproliferative disease	PheCode:289.1	Myelofibrosis
PheCode:300.13	Phobia	PheCode:300.12	Agorophobia, social phobia, and panic disorder
PheCode:288.1	Decreased white blood cell count	PheCode:288.11	Neutropenia
PheCode:290.13	Senile dementia	PheCode:290.1	Dementias
PheCode:263	Other nutritional deficiency	PheCode:317.1	Alcoholism
PheCode:290	Delirium dementia and amnestic and other cognitive disorders	PheCode:317.1	Alcoholism
PheCode:695.7	Prurigo and Lichen	PheCode:704.1	Alopecia
PheCode:757	Congenital anomalies of the integument	PheCode:704.1	Alopecia
PheCode:704.12	Telogen effluvium	PheCode:704.1	Alopecia
PheCode:368	Visual disturbances	PheCode:368.1	Amblyopia
PheCode:368.9	Subjective visual disturbances	PheCode:368.1	Amblyopia
PheCode:008.7	Intestinal infection due to protozoa	PheCode:008	Intestinal infection
PheCode:131	Protozoan infection	PheCode:008	Intestinal infection
PheCode:270.2	Disorders of amino-acid metabolism	PheCode:270	Disorders of protein plasma/amino-acid transport and metabolism
PheCode:270.21	Disorders of urea cycle metabolism	PheCode:270.2	Disorders of amino-acid metabolism
PheCode:270.21	Disorders of urea cycle metabolism	PheCode:270	Disorders of protein plasma/amino-acid transport and metabolism
PheCode:270	Disorders of protein plasma/amino-acid transport and metabolism	PheCode:270.2	Disorders of amino-acid metabolism
PheCode:270.1	Disturbances of amino-acid transport	PheCode:270.2	Disorders of amino-acid metabolism
PheCode:270.1	Disturbances of amino-acid transport	PheCode:270	Disorders of protein plasma/amino-acid transport and metabolism
PheCode:270.12	Phenylketonuria [PKU]	PheCode:270.2	Disorders of amino-acid metabolism
PheCode:270.12	Phenylketonuria [PKU]	PheCode:270	Disorders of protein plasma/amino-acid transport and metabolism
PheCode:290	Delirium dementia and amnestic and other cognitive disorders	PheCode:292.3	Memory loss
PheCode:292.3	Memory loss	PheCode:290	Delirium dementia and amnestic and other cognitive disorders
PheCode:317.1	Alcoholism	PheCode:290	Delirium dementia and amnestic and other cognitive disorders
PheCode:280	Iron deficiency anemias	PheCode:285	Other anemias
PheCode:284	Aplastic anemia	PheCode:285	Other anemias
PheCode:285.2	Anemia of chronic disease	PheCode:285	Other anemias
PheCode:284.1	Pancytopenia	PheCode:285	Other anemias
PheCode:289	Other diseases of blood and blood-forming organs	PheCode:285	Other anemias
PheCode:281.9	Deficiency anemias	PheCode:285	Other anemias
PheCode:282.8	Other hemoglobinopathies	PheCode:285	Other anemias
PheCode:285	Other anemias	PheCode:285.2	Anemia of chronic disease
PheCode:285	Other anemias	PheCode:284	Aplastic anemia
PheCode:284.2	Constitutional aplastic anemia	PheCode:284	Aplastic anemia
PheCode:282.9	Other hereditary hemolytic anemias	PheCode:283	Acquired hemolytic anemias
PheCode:283.2	Non-autoimmune hemolytic anemias	PheCode:282.9	Other hereditary hemolytic anemias
PheCode:283.2	Non-autoimmune hemolytic anemias	PheCode:283	Acquired hemolytic anemias
PheCode:282	Hereditary hemolytic anemias	PheCode:282.9	Other hereditary hemolytic anemias
PheCode:282	Hereditary hemolytic anemias	PheCode:283	Acquired hemolytic anemias
PheCode:283.2	Non-autoimmune hemolytic anemias	PheCode:282	Hereditary hemolytic anemias
PheCode:277.1	Disorders of porphyrin metabolism	PheCode:282.9	Other hereditary hemolytic anemias
PheCode:277.1	Disorders of porphyrin metabolism	PheCode:282	Hereditary hemolytic anemias
PheCode:283	Acquired hemolytic anemias	PheCode:282.9	Other hereditary hemolytic anemias
PheCode:283	Acquired hemolytic anemias	PheCode:282	Hereditary hemolytic anemias
PheCode:283.21	Hemolytic-uremic syndrome	PheCode:282.9	Other hereditary hemolytic anemias
PheCode:283.21	Hemolytic-uremic syndrome	PheCode:282	Hereditary hemolytic anemias
PheCode:282.9	Other hereditary hemolytic anemias	PheCode:282	Hereditary hemolytic anemias
PheCode:282.9	Other hereditary hemolytic anemias	PheCode:283.2	Non-autoimmune hemolytic anemias
PheCode:282	Hereditary hemolytic anemias	PheCode:283.2	Non-autoimmune hemolytic anemias
PheCode:281.11	Pernicious anemia	PheCode:281.1	Megaloblastic anemia
PheCode:284.2	Constitutional aplastic anemia	PheCode:285	Other anemias
PheCode:263	Other nutritional deficiency	PheCode:281.11	Pernicious anemia
PheCode:281.1	Megaloblastic anemia	PheCode:281.11	Pernicious anemia
PheCode:411.4	Coronary atherosclerosis	PheCode:411.9	Other acute and subacute forms of ischemic heart disease
PheCode:411.4	Coronary atherosclerosis	PheCode:411.1	Unstable angina (intermediate coronary syndrome)
PheCode:367	Disorders of refraction and accommodation; blindness and low vision	PheCode:368.3	Anisometropia
PheCode:526.42	Arthralgia/ankylosis of temporomandibular joint	PheCode:741.2	Stiffness of joint
PheCode:526.42	Arthralgia/ankylosis of temporomandibular joint	PheCode:741.1	Ankylosis of joint
PheCode:716.9	Arthropathy NOS	PheCode:741.2	Stiffness of joint
PheCode:716.9	Arthropathy NOS	PheCode:741.1	Ankylosis of joint
PheCode:716.1	Unspecified polyarthropathy or polyarthritis	PheCode:741.2	Stiffness of joint
PheCode:716.1	Unspecified polyarthropathy or polyarthritis	PheCode:741.1	Ankylosis of joint
PheCode:741	Symptoms and disorders of the joints	PheCode:741.2	Stiffness of joint
PheCode:741	Symptoms and disorders of the joints	PheCode:741.1	Ankylosis of joint
PheCode:713	Arthropathy associated with other disorders classified elsewhere	PheCode:741.2	Stiffness of joint
PheCode:713	Arthropathy associated with other disorders classified elsewhere	PheCode:741.1	Ankylosis of joint
PheCode:716	Other arthropathies	PheCode:741.2	Stiffness of joint
PheCode:716	Other arthropathies	PheCode:741.1	Ankylosis of joint
PheCode:292.1	Aphasia/speech disturbance	PheCode:292.11	Aphasia
PheCode:619.1	Noninflammatory disorders of ovary, fallopian tube, and broad ligament	PheCode:626.15	Infertility, female, associated with anovulation
PheCode:351	Other peripheral nerve disorders	PheCode:729.7	Nontraumatic compartment syndrome
PheCode:586	Other disorders of the kidney and ureters	PheCode:599.6	Oliguria and anuria
PheCode:565.1	Anal and rectal polyp	PheCode:565	Anal and rectal conditions
PheCode:442.11	Abdominal aortic aneurysm	PheCode:442.1	Aortic aneurysm
PheCode:459.9	Circulatory disease NEC	PheCode:394.3	Aortic valve disease
PheCode:459.9	Circulatory disease NEC	PheCode:395.2	Nonrheumatic aortic valve disorders
PheCode:747.12	Valvular heart disease/ heart chambers	PheCode:395.2	Nonrheumatic aortic valve disorders
PheCode:747.12	Valvular heart disease/ heart chambers	PheCode:394.3	Aortic valve disease
PheCode:540	Appendiceal conditions	PheCode:158	Neoplasm of unspecified nature of digestive system
PheCode:153.2	Colon cancer	PheCode:158	Neoplasm of unspecified nature of digestive system
PheCode:540	Appendiceal conditions	PheCode:540.11	Acute appendicitis
PheCode:540	Appendiceal conditions	PheCode:540.1	Appendicitis
PheCode:427.12	Paroxysmal ventricular tachycardia	PheCode:427.5	Arrhythmia (cardiac) NOS
PheCode:427.12	Paroxysmal ventricular tachycardia	PheCode:427	Cardiac dysrhythmias
PheCode:426.4	Anomalous atrioventricular excitation	PheCode:427.5	Arrhythmia (cardiac) NOS
